learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
9,13,1,0,0.199,0.871,0.156,0.154876709,0.354156494,0.022369385,4,0.72760728
9,13,1,1,0.199,0.871,0.156,0.154876709,0.354156494,0.022369385,4,0.690750328
9,13,1,2,0.199,0.871,0.156,0.154876709,0.354156494,0.022369385,4,0.660403114
9,13,1,3,0.199,0.871,0.156,0.154876709,0.354156494,0.022369385,4,0.743313994
9,13,1,4,0.199,0.871,0.156,0.154876709,0.354156494,0.022369385,4,0.544392062
9,13,1,5,0.199,0.871,0.156,0.154876709,0.354156494,0.022369385,4,0.739717857
9,13,1,6,0.199,0.871,0.156,0.154876709,0.354156494,0.022369385,4,0.50527514
9,13,1,7,0.199,0.871,0.156,0.154876709,0.354156494,0.022369385,4,0.735258086
9,13,1,8,0.199,0.871,0.156,0.154876709,0.354156494,0.022369385,4,0.735280301
9,13,1,9,0.199,0.871,0.156,0.154876709,0.354156494,0.022369385,4,0.685174738
10,7,2,0,0.2,0.876,0.158,0.195281982,0.872436523,0.009246826,1,0.414824517
10,7,2,1,0.2,0.876,0.158,0.195281982,0.872436523,0.009246826,1,0.402198985
10,7,2,2,0.2,0.876,0.158,0.195281982,0.872436523,0.009246826,1,0.547608104
10,7,2,3,0.2,0.876,0.158,0.195281982,0.872436523,0.009246826,1,0.554374429
10,7,2,4,0.2,0.876,0.158,0.195281982,0.872436523,0.009246826,1,0.357982804
10,7,2,5,0.2,0.876,0.158,0.195281982,0.872436523,0.009246826,1,0.597418978
10,7,2,6,0.2,0.876,0.158,0.195281982,0.872436523,0.009246826,1,0.353134885
10,7,2,7,0.2,0.876,0.158,0.195281982,0.872436523,0.009246826,1,0.605769126
10,7,2,8,0.2,0.876,0.158,0.195281982,0.872436523,0.009246826,1,0.585866158
10,7,2,9,0.2,0.876,0.158,0.195281982,0.872436523,0.009246826,1,0.382925333
12,19,16,0,0.221,0.877,0.142,0.148345947,0.080749512,0.082794189,1,0.360481128
12,19,16,1,0.221,0.877,0.142,0.148345947,0.080749512,0.082794189,1,0.267736804
12,19,16,2,0.221,0.877,0.142,0.148345947,0.080749512,0.082794189,1,0.435741717
12,19,16,3,0.221,0.877,0.142,0.148345947,0.080749512,0.082794189,1,0.385441732
12,19,16,4,0.221,0.877,0.142,0.148345947,0.080749512,0.082794189,1,0.216950716
12,19,16,5,0.221,0.877,0.142,0.148345947,0.080749512,0.082794189,1,0.488533261
12,19,16,6,0.221,0.877,0.142,0.148345947,0.080749512,0.082794189,1,0.267584076
12,19,16,7,0.221,0.877,0.142,0.148345947,0.080749512,0.082794189,1,0.377470987
12,19,16,8,0.221,0.877,0.142,0.148345947,0.080749512,0.082794189,1,0.496058788
12,19,16,9,0.221,0.877,0.142,0.148345947,0.080749512,0.082794189,1,0.26387728
14,7,4,0,0.219,0.871,0.161,0.051361084,0.439453125,0.022064209,1,0.333309434
14,7,4,1,0.219,0.871,0.161,0.051361084,0.439453125,0.022064209,1,0.200505713
14,7,4,2,0.219,0.871,0.161,0.051361084,0.439453125,0.022064209,1,0.379808523
14,7,4,3,0.219,0.871,0.161,0.051361084,0.439453125,0.022064209,1,0.300975383
14,7,4,4,0.219,0.871,0.161,0.051361084,0.439453125,0.022064209,1,0.146434672
14,7,4,5,0.219,0.871,0.161,0.051361084,0.439453125,0.022064209,1,0.434090402
14,7,4,6,0.219,0.871,0.161,0.051361084,0.439453125,0.022064209,1,0.224808671
14,7,4,7,0.219,0.871,0.161,0.051361084,0.439453125,0.022064209,1,0.263321918
14,7,4,8,0.219,0.871,0.161,0.051361084,0.439453125,0.022064209,1,0.451155103
14,7,4,9,0.219,0.871,0.161,0.051361084,0.439453125,0.022064209,1,0.204353253
15,15,3,0,0.218,0.879,0.17,0.049468994,0.606384277,0.114776611,4,0.623092869
15,15,3,1,0.218,0.879,0.17,0.049468994,0.606384277,0.114776611,4,0.489369549
15,15,3,2,0.218,0.879,0.17,0.049468994,0.606384277,0.114776611,4,0.671420197
15,15,3,3,0.218,0.879,0.17,0.049468994,0.606384277,0.114776611,4,0.432420211
15,15,3,4,0.218,0.879,0.17,0.049468994,0.606384277,0.114776611,4,0.549804382
15,15,3,5,0.218,0.879,0.17,0.049468994,0.606384277,0.114776611,4,0.679095877
15,15,3,6,0.218,0.879,0.17,0.049468994,0.606384277,0.114776611,4,0.58105454
15,15,3,7,0.218,0.879,0.17,0.049468994,0.606384277,0.114776611,4,0.621632026
15,15,3,8,0.218,0.879,0.17,0.049468994,0.606384277,0.114776611,4,0.627526379
15,15,3,9,0.218,0.879,0.17,0.049468994,0.606384277,0.114776611,4,0.387931659
18,10,3,0,0.213,0.871,0.173,0.13192749,0.116851807,0.110015869,2,0.561546435
18,10,3,1,0.213,0.871,0.173,0.13192749,0.116851807,0.110015869,2,0.494684774
18,10,3,2,0.213,0.871,0.173,0.13192749,0.116851807,0.110015869,2,0.585710098
18,10,3,3,0.213,0.871,0.173,0.13192749,0.116851807,0.110015869,2,0.466210105
18,10,3,4,0.213,0.871,0.173,0.13192749,0.116851807,0.110015869,2,0.524902191
18,10,3,5,0.213,0.871,0.173,0.13192749,0.116851807,0.110015869,2,0.589547939
